priority,url,source,what_to_verify,as_published_in_the_report,checked_2026_09_01
P1,https://www.loopnet.com/Listing/2974N-Hiawatha-Rd-Butternut-WI/28687292/,Donner's Bay Resort — LoopNet (commercial detail),Cross-check building schedule and income figures.,"Same listing, commercial view.",
P1,https://www.shorewest.com/WI/Iron/Butternut/2974n-Hiawatha-Rd-Butternut-WI-54514/210365-GNMLS,Donner's Bay Resort — MLS 210365 (primary listing),"Settle the cabin count (6 or 7 units), the lot size (1.31 or 3.1 ac) and the ask ($1.57M or $1.595M).",The report's headline recommendation.,
P1,https://landvest.com/listing/218079/lt-11-15-briar-lane-land-o-lakes-wi-54540/,Lac du Lune — MLS 218079 (primary listing),"Confirm 27.1 ac / 1,181 ft and whether the frontage can be split into five conforming lots.",The 'build the sketch exactly' recommendation.,
P1,https://search.library.wisc.edu/digital/AROWUBPEP7E4NI82/text/AD23D2DV3QLXSK9A,"Monthey & Zielinski, 'Vacation Resorts' (Wis. Academy, 1973)",Confirm the figure: Oneida County lost over 23% of resort-type establishments since 1961. This is a 1973 paper — the trend claim needs a modern source too.,Used as evidence for the whole 'buy a retiring resort' thesis.,"CORRECTED THE REPORT: the 23% figure covers 1961-1968 only (23.4% Oneida vs 13.9% statewide; ~98% of losses seasonal cottage-type), not 'since 1961'. Briefing and appendix both fixed."
P1,https://www.jmdsproperties.com/wi-resorts-for-sale/w770-wind-song-lane-road-other-price-wisconsin-54552/,Moose Jaw Resort — primary listing (Price Co.),"Confirm 17 ac, 8 cabins, 18 campsites, 24 slips, $2.75M, MLS 2028977 — and confirm which lake it fronts.",Was mis-located onto Round Lake (Sawyer) in the first draft; now corrected.,
P1,https://www.shorewest.com/WI/Oneida/Rhinelander/4000-Lakeshore-Dr-Rhinelander-WI-54501/217391-GNMLS,Pine Valley Lodge — MLS 217391 (primary listing),"Confirm ask ($1.499M vs $1.6M), cabin count, and that the 1,900 ft of frontage is contiguous and plattable.",The best frontage-per-dollar claim in the report.,
P1,https://www.vilascountywi.gov/departments/administration___officials/zoning_and_planning/zoning.php,Vilas County Zoning & Planning (LIVE county source),"Get the CURRENT General Zoning Ordinance (updated 12/15/2025) and Shoreland Zoning Ordinance. Confirm the one-dwelling-plus-one-non-rental-guest-house rule and any square-footage cap. Dept: zoning@vilascountywi.gov, (715) 479-3620.",Supersedes the 2003 PDF the report was written from.,
P1,https://www3.uwsp.edu/cnr-ap/UWEXLakes/Documents/ecology/shoreland/mitigation/shoreland_zoning_ordinance_vilas_co_june_26_2003.pdf,Vilas County shoreland zoning ordinance,THE load-bearing zoning claim. Confirm: one principal dwelling + one NON-RENTAL guest house per lot; guest houses and boathouses excluded from 'principal structure'. Note this copy is dated 2003 — find the current ordinance.,Briefing states the lodge-plus-five-cabins program is not permittable on a single Wisconsin residential lot.,"PARTLY CONFIRMED: non-rental guesthouse is not a principal structure, and one additional non-rental guest house is allowed on an unsewered lake lot. Still need the CURRENT ordinance (county says General Zoning Ordinance updated 12/15/2025) — see the new vilascountywi.gov row."
P1,https://docs.legis.wisconsin.gov/code/admin_code/nr/100/115.pdf,Wis. Admin. Code NR 115 (full text),"Confirm: 75-ft setback from OHWM, 35-ft no-cut vegetative buffer, ~15% impervious cap, unsewered lots >=100 ft wide and >=20,000 sq ft.",Quoted as the state-level shoreland minimums in the compound-math table.,
P1,https://www.lakeplace.com/forsale/wi-county/sawyer/,"listing — 12391 W Moreland Rd, Hayward — $1.95M (Round Lake) | listing — Grindstone chalet + guest cottage — verify price (Grindstone Lake) | listing — Lac Courte Oreilles legacy estate — $2.495M (Lac Courte Oreilles)","Confirm still active, and confirm price/cabin count/frontage. A recommendation rests on this.","Furnished lakeside cabin + guest cottage; sugar-sand frontage, sunset exposure · asking $1,950,000","12391 W Moreland Rd CONFIRMED at $1.95M, 4BR/4BA, 3,037 sf, 1.04 ac — but it is PENDING as of Sep 1. Round Lake (Sawyer) verdict changed from 'buy' to 'patient'."
P1,https://www.commercialzip.com/resorts/wi/,"listing — 12770 Scenic Dr, Iron River — verify price (Lake Delta (Bayfield Co.)) | listing — Donner's Bay Resort, Turtle–Flambeau — $1.57M (Turtle–Flambeau Flowage) | listing — Pine Valley Lodge, Rhinelander — $1.5M (Moen Chain) | listing — Butternut Lake resort — $849K (Butternut Lake (Price Co.))","Confirm this property exists, is still listed, and get price + acreage + frontage. I could not establish these.","Lake Delta resort: main lodge with operating bar & restaurant, attached 3BR home · price not established","CONFIRMED both: Donner's Bay = 2974N Hiawatha Rd, Butternut, MLS 210365, 74 years one family, 7,334 sf (sources differ 6 vs 7 cabin units, $1.57M vs $1.595M, 1.31 vs 3.1 ac). Pine Valley Lodge = 4000 Lakeshore Dr, MLS 217391, 27 ac / 1,900 ft, 1920s lodge + liquor licence + 5,000 sf rec hall."
P1,https://www.lakehouse.com/1350-s-hill-island-rd-cedarville-michigan-49719-p7047997.html,"listing — 1350 S Hill Island Rd, Cedarville — vacant 150 ft (Les Cheneaux Islands)","Confirm this property exists, is still listed, and get price + acreage + frontage. I could not establish these.",150 ft of vacant waterfront just east of Cedarville · price not established,
P1,https://www.land.com/Upper-Peninsula-Michigan-Region/lakefront-property/,"listing — 28278 Fence Lake Rd, Michigamme — verify price () | listing — East shore frontage, Bergland — $595K (Lake Gogebic) | listing — Hagerman Lake Rd, Iron River — $425K (Hagerman Lake) | listing — Iron County lakefront parcel — $129.9K (Iron County, MI)","Confirm this property exists, is still listed, and get price + acreage + frontage. I could not establish these.","14.2-ac private waterfront sanctuary, Baraga County · price not established",
P1,https://www.lakehomes.com/michigan/higgins-lake,"listing — 303 Kenwood, Roscommon — $1.55M (Higgins Lake) | listing — 6970 W Higgins Lake Dr — $1.45M (Higgins Lake) | listing — West-shore 6BR, 100+ ft frontage — $1.9M (Higgins Lake)","Confirm this property exists, is still listed, and get price + acreage + frontage. I could not establish these.","5+ wooded acres with sunset lake views · asking $1,550,000",
P1,https://www.landwatch.com/michigan-land-for-sale/glen-arbor/waterfront-property,"listing — 5760 W Crystal View Rd, Glen Arbor — $1.995M (Big Glen Lake)","Confirm this property exists, is still listed, and get price + acreage + frontage. I could not establish these.","4.8 ac, 3BR/2BA, 2,575 sf · asking $1,995,000",
P1,https://www.lakehomes.com/wisconsin/black-oak-lake-land-olakes,listing — 6024 Black Oak Lake Rd S — $699K (Black Oak Lake),"Confirm still active, and confirm price/cabin count/frontage. A recommendation rests on this.","3BR/2BA year-round home on Wisconsin's clearest lake · asking $699,000",
P1,https://www.land.com/Cheboygan-County-MI/lakefront-property/,listing — Cheboygan County lakefront inventory (Cheboygan County),"Confirm this property exists, is still listed, and get price + acreage + frontage. I could not establish these.","~1,000 ac of lakefront land listed countywide; average ask $376K · price not established",
P1,https://haywardlakes.com/lakes/chippewa-flowage/,listing — Chippewa Flowage inventory — 17 live (Chippewa Flowage),"Confirm this property exists, is still listed, and get price + acreage + frontage. I could not establish these.",17 active Chippewa Flowage listings in Hayward this summer · price not established,
P1,https://www.lakeplace.com/forsale/wi-county/vilas/,"listing — Coady's Point of View Resort, North Twin — $2.8M (North Twin Lake) | listing — Manitowish Waters chain inventory (Manitowish Waters Chain) | listing — Buckatabon Lodge & Campground — $3.75M (Lower Buckatabon Lake)","Confirm still active, and confirm price/cabin count/frontage. A recommendation rests on this.","Resort + campground on the Twin Lakes chain; family-run since 1897 · asking $2,800,000",
P1,https://www.cabinsandcamps.com/crookedlakeresort,"listing — Crooked Lake Resort, Lake MI — verify price (Crooked Lake (Lake, MI))","Confirm this property exists, is still listed, and get price + acreage + frontage. I could not establish these.",Owner's home + 6 winterized log cabins + park model + bait store on 146 ft of sand · price not established,
P1,https://www.landflip.com/land-for-sale/wisconsin/vilas-county/waterfront-keyword,"listing — Dunn Lake parcel, Presque Isle — $347.5K (Dunn Lake) | listing — Lac du Lune assemblage — $1.35M (Lac du Lune) | listing — Amik Lake parcel + cabin, Lac du Flambeau — $305K () | listing — Star Lake (Sawyer Co.) — 646 ac — $3.8M (Star Lake (Sawyer Co., private))","Confirm still active, and confirm price/cabin count/frontage. A recommendation rests on this.","14+ ac with over 1,000 ft of lake frontage · asking $347,500","CONFIRMED: Lac du Lune parcel = Lt 11-15 Briar Ln, MLS 218079, 27.1 ac / 1,181 ft, $1.35M, wraps a 13-ac pond. Lake is 442 ac / 68 ft / ~20 ft clarity (report had 470 ac) — corrected."
P1,https://www.haydenoutdoors.com/land-for-sale/halfway-lake-cottages/,"listing — Halfway Lake Cottages, Newberry — $1.595M (Halfway Lake (private, no-motor))","Confirm still active, and confirm price/cabin count/frontage. A recommendation rests on this.","25 ac, ~1,700 ft frontage; 8 cabins + guest house + 3BR owner's residence + pole barn · asking $1,595,000",
P1,https://www.jmdsproperties.com/wi-resorts-for-sale/,"listing — Hayward — 16154 US Hwy 63 — $975K (Hayward, WI)","Confirm this property exists, is still listed, and get price + acreage + frontage. I could not establish these.","Hayward-area property via JMDS Properties · asking $975,000",
P1,https://www.lakehomes.com/michigan/long-lake-alpena,listing — Hubbard Lake inventory (Hubbard Lake),"Confirm this property exists, is still listed, and get price + acreage + frontage. I could not establish these.",Northeast Michigan's cheapest deep-water frontage; see Alcona County listings · price not established,
P1,https://www.wxyz.com/news/dnr-auctioning-off-more-than-100-properties-across-michigan-in-2026-heres-how-to-bid,listing — Michigan DNR surplus land auction 2026 (Statewide (MI DNR)) | Michigan DNR 2026 surplus land auction,"Confirm this property exists, is still listed, and get price + acreage + frontage. I could not establish these.","97 statewide parcels, 20+ over 40 ac; Alpena/Cheboygan/Presque Isle counties Aug 21 · price not established",
P1,https://www.landsearch.com/resort/wisconsin,"listing — Moose Jaw Resort, Round Lake — $2.75M (Round Lake)","Confirm still active, and confirm price/cabin count/frontage. A recommendation rests on this.","17 ac in the Chequamegon National Forest; working cabin cluster + lodge building · asking $2,750,000","ERROR FOUND AND FIXED: Moose Jaw Resort is at W770 Wind Song Ln, Park Falls (Price Co.), on Round Lake of the PIKE CHAIN (726 ac, 24 ft, root-beer water) — not the 3,294-ac Round Lake near Hayward. It was a Tier 1 anchor; now reclassified as a program-not-water buy."
P1,https://www.traversenorth.com/property-search/waterfront-resorts-and-businesses.html,listing — Northern Michigan cabin resort (Herendeene Lake) — $2.5M (Herendeene Lake) | listing — Torch Lake motel & cabins — $1.6M (Torch Lake),"Confirm still active, and confirm price/cabin count/frontage. A recommendation rests on this.","430–450 ft frontage; hand-hewn 5BR log home + 6BR farmhouse + 6 remodeled cabins · asking $2,500,000",
P1,https://www.lakeplace.com/forsale/wi/presque-isle/,"listing — Presque Isle inventory — 30 live, avg $520K (Presque Isle Lake)","Confirm this property exists, is still listed, and get price + acreage + frontage. I could not establish these.",30 active Presque Isle lake listings; range $24.9K–$1.599M · price not established,
